TimeStamp,turbine_power1,turbine_power10,ws
2020-11-26 09:50:00,588.71,360.32,5.62
2020-11-26 10:00:00,519.77,340.2,5.53
2020-11-26 10:10:00,542.18,216.1,5.17
2020-11-26 10:20:00,581.69,214.5,5.42
2020-11-26 10:30:00,582.78,332.03,5.64
2020-11-26 10:40:00,605.22,62.63,5.27
2020-11-26 10:50:00,402.65,158.79,5.1
2020-11-26 11:00:00,741.52,538.03,5.91
2020-11-26 11:10:00,1102.67,888.23,6.35
2020-11-26 11:20:00,1128.44,894.63,6.57
2020-11-26 11:30:00,663.45,747.99,6.14
2020-11-26 11:40:00,610.53,424.12,5.89
2020-11-26 11:50:00,753.68,401.82,5.73
2020-11-26 12:00:00,846.71,263.52,5.5
2020-11-26 12:10:00,392.55,372.22,5.47
2020-11-26 12:20:00,242.47,444.38,5.5
2020-11-26 12:30:00,286.26,380.68,5.51
2020-11-26 12:40:00,517.08,359.8,5.68
2020-11-26 12:50:00,328.94,376.24,5.58
2020-11-26 13:00:00,292.09,392.85,5.37
2020-11-26 13:10:00,517.06,111.94,5.04
2020-11-26 13:20:00,605.68,72.56,5.01
2020-11-26 13:30:00,649.39,85.9,5.16
2020-11-26 13:40:00,278.67,217.77,5.13
2020-11-26 13:50:00,334.29,223.71,4.87
2020-11-26 14:00:00,510.87,317.52,5.25
2020-11-26 14:10:00,563.68,580.92,5.84
2020-11-26 14:20:00,474.91,692.61,6.02
2020-11-26 14:30:00,431.95,844.76,6.26
2020-11-26 14:40:00,545.25,842.62,6.03
2020-11-26 14:50:00,600.43,889.15,5.72
2020-11-26 15:00:00,601.07,832.55,5.79
2020-11-26 15:10:00,583.63,610.68,5.75
2020-11-26 15:20:00,755.33,553.95,5.75
2020-11-26 15:30:00,740.93,706.3,5.81
2020-11-26 15:40:00,781.68,764.3,6.02
2020-11-26 15:50:00,893.32,649.57,6.19
2020-11-26 16:00:00,893.21,595.76,6.09
2020-11-26 16:10:00,777.12,644.71,6.13
2020-11-26 16:20:00,893.96,526.51,6.23
2020-11-26 16:30:00,843.63,612.5,6.03
2020-11-26 16:40:00,616.67,668.26,6.02
2020-11-26 16:50:00,596.9,699.45,5.95
2020-11-26 17:00:00,718.38,635.32,6.01
2020-11-26 17:10:00,404.63,577.23,5.82
2020-11-26 17:20:00,279.71,498.04,5.38
2020-11-26 17:30:00,406.85,312.0,5.03
2020-11-26 17:40:00,449.02,470.26,5.37
2020-11-26 17:50:00,340.22,339.49,5.0
2020-11-26 18:00:00,399.52,281.0,4.87
2020-11-26 18:10:00,484.72,453.42,5.08
2020-11-26 18:20:00,420.63,314.77,4.95
2020-11-26 18:30:00,269.43,197.64,4.74
2020-11-26 18:40:00,350.64,313.91,4.73
2020-11-26 18:50:00,382.07,299.16,4.75
2020-11-26 19:00:00,524.05,295.31,4.94
2020-11-26 19:10:00,456.3,349.48,4.96
2020-11-26 19:20:00,550.54,328.0,4.98
2020-11-26 19:30:00,642.03,351.21,5.17
2020-11-26 19:40:00,674.13,320.59,5.15
2020-11-26 19:50:00,583.74,353.63,5.18
